date,cedis_group,visit_count,visit_7day_mean,baseline,baseline_lowerbound,baseline_upperbound,ed_count
2022-06-10,NC,240,220.285714285714,286.26913753547,167.104781982835,405.433493088106,20
2022-06-11,NC,210,223.0,286.452896450586,167.250155114148,405.655637787025,20
2022-06-12,NC,215,226.428571428571,286.633412315216,167.392980886565,405.873843743866,20
2022-06-13,NC,285,236.428571428571,286.810642786955,167.533225056077,406.088060517832,20
2022-06-14,NC,255,235.857142857143,286.984546554169,167.670854192863,406.298238915475,20
2022-06-15,NC,239,241.285714285714,287.155083353915,167.805835696321,406.504331011509,20
2022-06-16,NC,230,239.857142857143,287.322213989472,167.93813780978,406.706290169165,20
2022-06-17,NC,260,242.571428571429,287.48590034747,168.067729634885,406.904071060054,20
2022-06-18,NC,215,242.428571428571,287.646105414599,168.194581145651,407.097629683547,20
2022-06-19,NC,199,240.142857142857,287.802793293902,168.318663202164,407.28692338564,20
2022-06-20,NC,257,236.142857142857,287.955929220617,168.439947563933,407.471910877301,20
2022-06-21,NC,283,240.142857142857,288.105479577578,168.558406902869,407.652552252287,20
2022-06-22,NC,255,242.428571428571,288.251411910154,168.674014815893,407.828809004415,20
2022-06-23,NC,238,243.714285714286,288.393694940718,168.78674583716,408.000644044276,20
2022-06-24,NC,256,243.285714285714,288.532298582631,168.896575449882,408.168021715381,20
2022-06-25,NC,213,233.142857142857,288.667193953741,169.003480097753,408.33090780973,20
2022-06-26,NC,185,242.714285714286,288.798353389378,169.107437195966,408.489269582791,20
2022-06-27,NC,275,244.571428571429,288.925750454838,169.2084251418,408.643075767876,20
2022-06-28,NC,241,240.142857142857,289.049359957351,169.30642332479,408.792296589912,20
2022-06-29,NC,260,234.428571428571,289.169157957521,169.401412136453,408.936903778588,20
2022-06-30,NC,249,242.857142857143,289.285121780227,169.493372979575,409.076870580878,20
2022-07-01,NC,256,242.285714285714,295.767501604066,170.16160172351,421.373401484622,22
2022-07-02,NC,204,239.428571428571,295.878116592092,170.248732327281,421.507500856903,22
2022-07-03,NC,194,239.571428571429,295.984751336888,170.332739709851,421.636762963926,22
2022-07-04,NC,273,237.428571428571,296.087387932839,170.413609174032,421.761166691646,22
2022-07-05,NC,252,237.714285714286,296.186009813667,170.491327089534,421.880692537801,22
2022-07-06,NC,228,235.0,296.280601760142,170.565880899564,421.99532262072,22
2022-07-07,NC,261,234.0,296.37114990718,170.63725912694,422.105040687421,22
2022-07-08,NC,249,232.571428571429,296.457641750361,170.705451379703,422.209832121019,22
2022-07-09,NC,185,235.285714285714,296.540066151819,170.770448356223,422.309683947415,22
2022-07-10,NC,200,236.571428571429,296.618413345541,170.832241849807,422.404584841274,22
2022-07-11,NC,292,238.285714285714,296.692674942043,170.890824752795,422.494525131291,22
2022-07-12,NC,259,239.0,296.762843932432,170.946191060139,422.579496804725,22
2022-07-13,NC,263,244.285714285714,296.828914691846,170.998335872472,422.65949351122,22
2022-07-14,NC,255,243.285714285714,296.890882982277,171.047255398661,422.734510565893,22
2022-07-15,NC,218,238.0,296.948745954766,171.092946957836,422.804544951696,22
2022-07-16,NC,208,240.428571428571,297.002502150972,171.135408980901,422.869595321043,22
2022-07-17,NC,214,244.428571428571,297.052151504117,171.174641011522,422.929661996712,22
2022-07-18,NC,289,244.142857142857,297.097695339302,171.210643706594,422.98474697201,22
2022-07-19,NC,233,241.0,297.1391363732,171.243418836188,423.034853910212,22
2022-07-20,NC,241,237.714285714286,297.176478713115,171.272969282969,423.079988143262,22
2022-07-21,NC,276,239.857142857143,297.209727855424,171.299299041095,423.120156669753,22
2022-07-22,NC,235,243.0,297.238890683384,171.322413214603,423.155368152165,22
2022-07-23,NC,223,244.0,297.263975464329,171.342318015263,423.185632913396,22
2022-07-24,NC,187,235.714285714286,297.284991846236,171.35902075992,423.210962932552,22
2022-07-25,NC,293,242.714285714286,297.301950853679,171.372529867329,423.231371840028,22
2022-07-26,NC,242,243.0,297.314864883164,171.382854854462,423.246874911867,22
2022-07-27,NC,219,239.714285714286,297.323747697865,171.390006332318,423.257489063412,22
2022-07-28,NC,253,235.714285714286,297.328614421734,171.393996001222,423.263232842247,22
2022-07-29,NC,264,242.285714285714,297.329481533029,171.394836645621,423.264126420437,22
2022-07-30,NC,210,237.0,297.326366857229,171.392542128387,423.260191586072,22
2022-07-31,NC,209,240.0,297.319289559372,171.387127384622,423.251451734122,22
2022-08-01,NC,257,236.428571428571,297.308270135791,171.378608414974,423.237931856608,22
2022-08-02,NC,247,236.285714285714,297.293330405288,171.367002278477,423.2196585321,22
2022-08-03,NC,230,237.285714285714,297.274493499721,171.352327084905,423.196659914538,22
2022-08-04,NC,252,236.428571428571,297.251783854034,171.334601986662,423.168965721406,22
2022-08-05,NC,252,238.428571428571,297.225227195724,171.313847170203,423.136607221245,22
2022-08-06,NC,187,234.428571428571,297.194850533763,171.290083847001,423.099617220524,22
2022-08-07,NC,194,231.285714285714,297.160682146972,171.263334244058,423.058030049885,22
2022-08-08,NC,294,238.857142857143,297.122751571866,171.233621593977,423.011881549756,22
2022-08-09,NC,269,239.428571428571,297.081089589977,171.200970124599,422.961209055355,22
2022-08-10,NC,204,236.714285714286,297.035728214652,171.165405048208,422.906051381095,22
2022-08-11,NC,255,235.714285714286,296.986700677357,171.126952550321,422.846448804393,22
2022-08-12,NC,242,234.428571428571,296.93404141348,171.085639778063,422.782443048898,22
2022-08-13,NC,211,238.0,296.877786047652,171.041494828148,422.714077267156,22
2022-08-14,NC,208,240.0,296.817971378587,170.99454673446,422.641396022715,22
2022-08-15,NC,268,236.571428571429,296.75463536347,170.944825455252,422.564445271687,22
2022-08-16,NC,263,236.714285714286,296.687817101879,170.892361859979,422.48327234378,22
2022-08-17,NC,256,244.142857142857,296.617556819281,170.837187715752,422.39792592281,22
2022-08-18,NC,214,237.142857142857,296.543895850084,170.77933567346,422.308456026709,22
2022-08-19,NC,244,237.428571428571,296.466876620285,170.718839253527,422.214913987043,22
2022-08-20,NC,228,239.857142857143,296.386542629702,170.655732831352,422.117352428052,22
2022-08-21,NC,184,236.428571428571,296.302938433821,170.590051622419,422.015825245222,22
2022-08-22,NC,299,240.857142857143,296.216109625259,170.521831667102,421.910387583417,22
2022-08-23,NC,254,240.571428571429,296.126102814863,170.45110981516,421.801095814567,22
2022-08-24,NC,264,240.571428571429,296.032965612448,170.377923709956,421.688007514939,22
2022-08-25,NC,274,249.142857142857,295.936746607198,170.302311772388,421.571181442009,22
2022-08-26,NC,235,241.714285714286,295.837495347743,170.224313184556,421.45067751093,22
2022-08-27,NC,195,244.285714285714,295.735262321909,170.143967873179,421.326556770639,22
2022-08-28,NC,196,246.714285714286,295.63009893618,170.061316492765,421.198881379595,22
2022-08-29,NC,262,236.857142857143,295.522057494861,169.976400408546,421.067714581176,22
2022-08-30,NC,260,244.428571428571,295.411191178973,169.889261679203,420.933120678743,22
2022-08-31,NC,271,244.285714285714,295.297554024886,169.799943039372,420.7951650104,22
2022-09-01,NC,285,247.285714285714,295.181200902702,169.708487881962,420.653913923442,22
2022-09-02,NC,243,244.428571428571,295.062187494406,169.614940240284,420.509434748529,22
2022-09-03,NC,196,243.714285714286,294.940570271804,169.51934477001,420.361795773598,22
2022-09-04,NC,224,250.428571428571,294.816406474242,169.421746730973,420.211066217512,22
2022-09-05,NC,291,250.285714285714,294.689754086146,169.322191968811,420.05731620348,22
2022-09-06,NC,232,248.0,294.560671814375,169.220726896487,419.900616732263,22
2022-09-07,NC,259,249.285714285714,294.429219065415,169.117398475668,419.741039655163,22
2022-09-08,NC,264,243.428571428571,294.295455922421,169.012254198007,419.578657646835,22
2022-09-09,NC,277,248.428571428571,294.159443122117,168.905342066311,419.413544177923,22
2022-09-10,NC,223,254.0,294.021242031581,168.796710575626,419.245773487536,22
2022-09-11,NC,242,254.714285714286,293.880914624914,168.686408694244,419.075420555585,22
2022-09-12,NC,303,259.0,293.738523459814,168.574485844636,418.902561074992,22
2022-09-13,NC,280,262.857142857143,293.594131654067,168.460991884342,418.727271423793,22
2022-09-14,NC,250,262.0,293.447802861969,168.345977086804,418.549628637133,22
2022-09-15,NC,249,258.571428571429,293.299601250685,168.229492122176,418.369710379195,22
2022-09-16,NC,256,258.571428571429,293.149591476578,168.111588038106,418.18759491505,22
2022-09-17,NC,193,254.285714285714,292.997838661486,167.99231624051,418.003361082461,22
2022-09-18,NC,204,247.0,292.844408369,167.871728474348,417.817088263652,22
2022-09-19,NC,253,242.142857142857,292.689366580724,167.749876804401,417.628856357047,22
2022-09-20,NC,240,236.0,292.532779672545,167.626813596083,417.438745749007,22
2022-09-21,NC,256,237.857142857143,292.374714390919,167.50259149627,417.246837285568,22
2022-09-22,NC,234,230.571428571429,292.215237829191,167.377263414181,417.053212244202,22
2022-09-23,NC,262,235.285714285714,292.054417403951,167.250882502301,416.857952305601,22
2022-09-24,NC,202,235.428571428571,291.892320831445,167.123502137372,416.661139525518,22
2022-09-25,NC,203,235.714285714286,291.729016104056,166.99517590145,416.462856306662,22
2022-09-26,NC,283,238.857142857143,291.56457146685,166.865957563042,416.263185370658,22
2022-09-27,NC,243,237.428571428571,291.399055394216,166.735901058332,416.0622097301,22
2022-09-28,NC,244,238.714285714286,291.232536566596,166.605060472499,415.860012660693,22
2022-09-29,NC,283,246.285714285714,291.065083847332,166.473490021154,415.656677673509,22
2022-09-30,NC,293,250.0,290.896766259614,166.341244031874,415.452288487354,22
2022-10-01,NC,241,255.571428571429,298.948671247355,167.692271269411,430.205071225299,24
2022-10-02,NC,222,262.142857142857,298.774028893537,167.556110802555,429.991946984518,24
2022-10-03,NC,238,253.428571428571,298.598710891306,167.419428036909,429.777993745703,24
2022-10-04,NC,289,259.142857142857,298.422788638937,167.282278686321,429.563298591554,24
2022-10-05,NC,243,254.285714285714,298.246333582745,167.144718486297,429.347948679193,24
2022-10-06,NC,270,259.142857142857,298.069417194305,167.006803176018,429.132031212592,24
2022-10-07,NC,249,253.428571428571,297.892110947867,166.868588480532,428.915633415203,24
2022-10-08,NC,213,244.142857142857,297.714486297955,166.730130093119,428.698842502791,24
2022-10-09,NC,236,246.428571428571,297.536614657164,166.591483657838,428.48174565649,24
2022-10-10,NC,282,253.142857142857,297.358567374172,166.452704752268,428.264429996076,24
2022-10-11,NC,263,252.857142857143,297.180415711959,166.313848870429,428.046982553489,24
2022-10-12,NC,269,254.571428571429,297.002230826249,166.174971405918,427.829490246581,24
2022-10-13,NC,271,254.714285714286,296.82408374418,166.036127635233,427.612039853126,24
2022-10-14,NC,257,258.571428571429,296.646045343203,165.89737270132,427.394717985086,24
2022-10-15,NC,231,260.285714285714,296.46818633023,165.758761597323,427.177611063136,24
2022-10-16,NC,222,258.0,296.290577221011,165.620349150552,426.960805291471,24
2022-10-17,NC,277,254.285714285714,296.113288319779,165.482190006678,426.74438663288,24
2022-10-18,NC,280,256.857142857143,295.936389699133,165.344338614151,426.528440784114,24
2022-10-19,NC,253,254.857142857143,295.759951180189,165.206849208838,426.31305315154,24
2022-10-20,NC,250,253.714285714286,295.584042312996,165.069775798906,426.098308827087,24
2022-10-21,NC,269,255.0,295.408732357214,164.933172149928,425.8842925645,24
2022-10-22,NC,205,252.428571428571,295.234090263066,164.797091770234,425.671088755897,24
2022-10-23,NC,204,249.857142857143,295.060184652561,164.661587896491,425.45878140863,24
2022-10-24,NC,258,244.428571428571,294.887083801003,164.526713479537,425.247454122469,24
2022-10-25,NC,239,234.142857142857,294.714855618771,164.392521170448,425.037190067095,24
2022-10-26,NC,266,243.714285714286,294.543567633389,164.259063306855,424.828071959922,24
2022-10-27,NC,247,241.285714285714,294.373286971872,164.126391899503,424.62018204424,24
2022-10-28,NC,287,246.571428571429,294.204080343371,163.994558619061,424.413602067681,24
2022-10-29,NC,189,235.142857142857,294.036014022099,163.863614783175,424.208413261022,24
2022-10-30,NC,267,252.571428571429,293.869153830546,163.733611343777,424.004696317314,24
2022-10-31,NC,224,248.0,293.70356512299,163.604598874632,423.802531371349,24
2022-11-01,NC,262,247.428571428571,293.539312769301,163.476627559144,423.601997979458,24
2022-11-02,NC,270,248.428571428571,293.376461139028,163.349747178406,423.403175099649,24
2022-11-03,NC,251,250.571428571429,293.215074085791,163.224007099497,423.206141072085,24
2022-11-04,NC,244,244.142857142857,293.055214931961,163.099456264032,423.01097359989,24
2022-11-05,NC,188,245.857142857143,292.896946453631,162.976143176953,422.81774973031,24
2022-11-06,NC,196,235.428571428571,292.740330865884,162.854115895572,422.626545836197,24
2022-11-07,NC,276,242.428571428571,292.58542980835,162.733422018854,422.437437597846,24
2022-11-08,NC,248,239.714285714286,292.432304331056,162.614108676949,422.250499985162,24
2022-11-09,NC,246,236.857142857143,292.281014880568,162.496222520964,422.065807240171,24
2022-11-10,NC,249,236.142857142857,292.131621286418,162.379809712973,421.883432859864,24
2022-11-11,NC,282,241.428571428571,291.984182747826,162.264915916271,421.703449579381,24
2022-11-12,NC,199,243.0,291.838757820698,162.151586285861,421.525929355535,24
2022-11-13,NC,164,238.285714285714,291.695404404919,162.039865459177,421.35094335066,24
2022-11-14,NC,293,239.428571428571,291.554179731921,161.929797547042,421.178561916801,24
2022-11-15,NC,299,247.571428571429,291.415140352541,161.821426124849,421.008854580233,24
2022-11-16,NC,237,245.428571428571,291.278342125143,161.71479422398,420.841890026306,24
2022-11-17,NC,249,245.571428571429,291.143840204028,161.609944323437,420.677736084618,24
2022-11-18,NC,241,239.857142857143,291.011689028115,161.506918341709,420.516459714522,24
2022-11-19,NC,188,238.428571428571,290.88194230989,161.405757628844,420.358126990937,24
2022-11-20,NC,202,240.142857142857,290.754653024622,161.306502958748,420.202803090496,24
2022-11-21,NC,272,236.142857142857,290.629873399848,161.209194521689,420.050552278006,24
2022-11-22,NC,288,237.0,290.507654905117,161.113871917019,419.901437893214,24
2022-11-23,NC,275,243.142857142857,290.388048241995,161.020574146092,419.755522337897,24
2022-11-24,NC,309,257.285714285714,290.271103334322,160.929339605392,419.612867063252,24
2022-11-25,NC,251,257.857142857143,290.156869318725,160.84020607986,419.473532557591,24
2022-11-26,NC,209,257.142857142857,290.045394535376,160.753210736411,419.337578334342,24
2022-11-27,NC,215,261.714285714286,289.936726518999,160.668390117652,419.205062920346,24
2022-11-28,NC,300,266.571428571429,289.830911990114,160.585780135782,419.076043844445,24
2022-11-29,NC,240,255.428571428571,289.727996846523,160.505416066678,418.950577626368,24
2022-11-30,NC,257,256.571428571429,289.628026155031,160.427332544163,418.828719765899,24
2022-12-01,NC,255,244.857142857143,289.531044143392,160.351563554454,418.71052473233,24
2022-12-02,NC,242,243.571428571429,289.437094192486,160.278142430775,418.596045954196,24
2022-12-03,NC,237,244.857142857143,289.346218828718,160.207101848153,418.485335809283,24
2022-12-04,NC,215,250.571428571429,289.258459716639,160.138473818367,418.378445614911,24
2022-12-05,NC,286,249.142857142857,289.173857651775,160.072289685066,418.275425618485,24
2022-12-06,NC,240,246.142857142857,289.092452553677,160.008580119043,418.176324988311,24
2022-12-07,NC,268,251.428571428571,289.014283459168,159.947375113669,418.081191804668,24
2022-12-08,NC,247,249.857142857143,288.939388515806,159.888703980464,417.990073051147,24
2022-12-09,NC,248,249.857142857143,288.867804975533,159.832595344834,417.903014606232,24
2022-12-10,NC,224,245.428571428571,288.799569188535,159.779077141933,417.820061235136,24
2022-12-11,NC,201,238.857142857143,288.734716597279,159.728176612675,417.741256581883,24
2022-12-12,NC,266,244.714285714286,288.673281730754,159.67992029988,417.666643161629,24
2022-12-13,NC,259,246.857142857143,288.615298198883,159.634334044547,417.596262353219,24
2022-12-14,NC,230,243.0,288.560798687126,159.591442982265,417.530154391986,24
2022-12-15,NC,235,233.142857142857,288.509814951253,159.551271539738,417.468358362768,24
2022-12-16,NC,235,234.857142857143,288.4623778123,159.513843431438,417.410912193163,24
2022-12-17,NC,183,232.571428571429,288.418517151687,159.479181656376,417.357852646998,24
2022-12-18,NC,214,232.285714285714,288.378261906504,159.447308494981,417.309215318027,24
2022-12-19,NC,324,240.714285714286,288.341640064967,159.418245506102,417.265034623832,24
2022-12-20,NC,254,236.714285714286,288.308678662029,159.392013524106,417.225343799953,24
2022-12-21,NC,243,243.714285714286,288.279403775148,159.368632656087,417.190174894209,24
2022-12-22,NC,258,241.142857142857,288.253840520209,159.348122279177,417.159558761241,24
2022-12-23,NC,241,246.428571428571,288.232013047603,159.330501037953,417.133525057252,24
2022-12-24,NC,215,249.571428571429,288.213944538444,159.315786841945,417.112102234942,24
2022-12-25,NC,194,247.0,288.199657200939,159.303996863232,417.095317538646,24
2022-12-26,NC,208,229.857142857143,288.189172266899,159.295147534129,417.083196999669,24
2022-12-27,NC,270,235.571428571429,288.182509988387,159.289254544969,417.075765431804,24
2022-12-28,NC,228,229.428571428571,288.179689634503,159.286332841961,417.073046427045,24
2022-12-29,NC,208,202.285714285714,288.180729488312,159.286396625137,417.075062351487,24
2022-12-30,NC,212,200.714285714286,288.185646843895,159.289459346383,417.081834341408,24
2022-12-31,NC,144,196.0,288.194458003535,159.295533707539,417.093382299532,24
2023-01-01,NC,171,194.714285714286,248.255752762782,139.583134576351,356.928370949213,19
2023-01-02,NC,218,200.285714285714,248.270089299556,139.593591498058,356.946587101054,19
2023-01-03,NC,194,192.714285714286,248.287816858171,139.606676922555,356.968956793787,19
2023-01-04,NC,210,190.857142857143,248.308946041773,139.622399207956,356.995492875591,19
2023-01-05,NC,193,192.571428571429,248.333486588704,139.64076605701,357.026207120398,19
2023-01-06,NC,194,189.142857142857,248.36144737072,139.661784515838,357.061110225602,19
2023-01-07,NC,193,196.428571428571,248.392836391314,139.685460972735,357.100211809893,19
2023-01-08,NC,169,197.0,248.42766078414,139.711801157025,357.143520411255,19
2023-01-09,NC,,,248.465926811537,139.740810137975,357.191043485099,19
2023-01-10,NC,,,248.507639863156,139.772492323772,357.24278740254,19
2023-01-11,NC,,,248.552804454686,139.806851460548,357.298757448824,19
2023-01-12,NC,,,248.601424226677,139.843890631466,357.358957821888,19
2023-01-13,NC,,,248.653501943471,139.883612255869,357.423391631074,19
2023-01-14,NC,,,248.709039492224,139.92601808847,357.492060895977,19
2023-01-15,NC,,,248.768037882028,139.971109218612,357.564966545443,19
2023-01-16,NC,,,248.830497243141,140.018886069578,357.642108416705,19
2023-01-17,NC,,,248.896416826311,140.069348397957,357.723485254665,19
2023-01-18,NC,,,248.965795002196,140.122495293068,357.809094711323,19
2023-01-19,NC,,,249.038629260895,140.178325176444,357.898933345345,19
2023-01-20,NC,,,249.114916211577,140.236835801369,357.992996621784,19
2023-01-21,NC,,,249.194651582207,140.298024252473,358.091278911941,19
2023-01-22,NC,,,249.277830219387,140.361886945397,358.193773493377,19
2023-01-23,NC,,,249.36444608829,140.428419626503,358.300472550078,19
2023-01-24,NC,,,249.454492272709,140.497617372657,358.41136717276,19
2023-01-25,NC,,,249.547960975207,140.569474591072,358.526447359342,19
2023-01-26,NC,,,249.644843517383,140.64398501921,358.645702015555,19
2023-01-27,NC,,,249.74513034024,140.721141724759,358.769118955721,19
2023-01-28,NC,,,249.848811004675,140.80093710567,358.896684903681,19
2023-01-29,NC,,,249.955874192074,140.883362890262,359.028385493885,19
2023-01-30,NC,,,250.066307705027,140.968410137406,359.164205272649,19
2023-01-31,NC,,,250.180098468167,141.05606923677,359.304127699563,19
2023-02-01,NC,,,250.297232529118,141.146329909153,359.448135149083,19
2023-02-02,NC,,,250.417695059578,141.239181206881,359.596208912275,19
2023-02-03,NC,,,250.541470356517,141.33461151429,359.748329198743,19
2023-02-04,NC,,,250.668541843511,141.432608548294,359.904475138728,19
2023-02-05,NC,,,250.798892072204,141.533159359028,360.064624785381,19
2023-02-06,NC,,,250.932502723901,141.636250330583,360.228755117219,19
