date,age,visit_count,visit_7day_mean,baseline,baseline_lowerbound,baseline_upperbound,ed_count
2022-04-23,0-19,479,422.714285714286,591.258672246462,386.916620788794,795.600723704129,30
2022-04-24,0-19,460,426.142857142857,591.922575113611,387.465285011072,796.379865216149,30
2022-04-25,0-19,409,426.142857142857,592.582941873476,388.011092874628,797.154790872324,30
2022-04-26,0-19,412,416.571428571429,593.23961457436,388.553912688014,797.925316460705,30
2022-04-27,0-19,438,430.428571428571,593.89243600484,389.093613320106,798.691258689575,30
2022-04-28,0-19,428,440.0,594.541249753158,389.630064250564,799.452435255753,30
2022-04-29,0-19,451,439.857142857143,595.185900266755,390.163135620481,800.208664913029,30
2022-04-30,0-19,484,442.0,595.826232911937,390.692698283186,800.959767540688,30
2022-05-01,0-19,465,440.571428571429,596.462094033628,391.218623855163,801.705564212094,30
2022-05-02,0-19,454,446.285714285714,597.093331015177,391.740784767067,802.445877263288,30
2022-05-03,0-19,389,442.0,597.719792338193,392.259054314809,803.180530361577,30
2022-05-04,0-19,442,446.142857142857,598.341327642359,392.773306710671,803.909348574048,30
2022-05-05,0-19,409,442.428571428571,598.957787785214,393.283417134423,804.632158436005,30
2022-05-06,0-19,455,443.0,599.569024901836,393.789261784416,805.348788019257,30
2022-05-07,0-19,537,452.428571428571,600.174892464422,394.290717928615,806.05906700023,30
2022-05-08,0-19,510,456.714285714286,600.775245341709,394.787663955542,806.762826727876,30
2022-05-09,0-19,465,458.0,601.369939858203,395.279979425094,807.459900291312,30
2022-05-10,0-19,461,463.142857142857,601.958833853188,395.76754511921,808.150122587166,30
2022-05-11,0-19,454,469.0,602.541786739468,396.250243092343,808.833330386592,30
2022-05-12,0-19,476,478.714285714286,603.118659561809,396.727956721722,809.509362401896,30
2022-05-13,0-19,475,484.285714285714,603.68931505505,397.20057075735,810.17805935275,30
2022-05-14,0-19,538,485.571428571429,604.253617701826,397.667971371718,810.839264031934,30
2022-05-15,0-19,539,486.285714285714,604.811433789899,398.130046209207,811.492821370591,30
2022-05-16,0-19,497,493.571428571429,605.362631469017,398.58668443512,812.138578502914,30
2022-05-17,0-19,500,495.571428571429,605.907080807307,399.037776784342,812.776384830271,30
2022-05-18,0-19,419,492.571428571429,606.444653847125,399.483215609571,813.406092084679,30
2022-05-19,0-19,437,484.285714285714,606.975224660359,399.922894929094,814.027554391624,30
2022-05-20,0-19,458,485.285714285714,607.498669403119,400.356710474079,814.640628332159,30
2022-05-21,0-19,560,487.714285714286,608.014866369801,400.784559735346,815.245173004256,30
2022-05-22,0-19,458,473.714285714286,608.52369604647,401.206342009577,815.841050083363,30
2022-05-23,0-19,486,475.0,609.025041163531,401.621958444944,816.428123882118,30
2022-05-24,0-19,409,461.571428571429,609.518786747659,402.031312086117,817.006261409201,30
2022-05-25,0-19,478,466.0,610.004820172933,402.434307918611,817.575332427254,30
2022-05-26,0-19,500,480.714285714286,610.483031211161,402.830852912457,818.135209509866,30
2022-05-27,0-19,551,491.142857142857,610.953312081344,403.220856065148,818.685768097541,30
2022-05-28,0-19,508,483.857142857143,611.415557498241,403.604228443836,819.226886552646,30
2022-05-29,0-19,449,485.0,611.869664720018,403.980883226752,819.758446213284,30
2022-05-30,0-19,438,476.0,612.31553359493,404.350735743808,820.280331446052,30
2022-05-31,0-19,408,477.142857142857,612.753066607008,404.71370351636,820.792429697656,30
2022-06-01,0-19,478,473.0,613.182168920717,405.069706296097,821.294631545337,30
2022-06-02,0-19,460,471.571428571429,613.602748424556,405.418666103029,821.786830746083,30
2022-06-03,0-19,481,459.0,614.014715773559,405.760507262539,822.268924284579,30
2022-06-04,0-19,478,456.285714285714,614.417984430673,406.095156441481,822.740812419866,30
2022-06-05,0-19,513,463.285714285714,614.812470706984,406.422542683287,823.202398730682,30
2022-06-06,0-19,452,465.714285714286,615.198093800751,406.742597442061,823.65359015944,30
2022-06-07,0-19,396,465.857142857143,615.574775835227,407.055254615632,824.094297054822,30
2022-06-08,0-19,386,437.285714285714,615.94244189524,407.360450577537,824.524433212944,30
2022-06-09,0-19,426,453.714285714286,616.301020062498,407.658124207917,824.943915917079,30
2022-06-10,0-19,489,453.142857142857,616.650441449598,407.948216923296,825.3526659759,30
2022-06-11,0-19,502,456.428571428571,616.990640232715,408.23067270522,825.75060776021,30
2022-06-12,0-19,528,460.285714285714,617.321553682934,408.505438127732,826.137669238135,30
2022-06-13,0-19,515,464.857142857143,617.643122196219,408.77246238367,826.513782008769,30
2022-06-14,0-19,439,463.285714285714,617.955289321987,409.031697309757,826.878881334217,30
2022-06-15,0-19,482,483.857142857143,618.258001790256,409.28309741047,827.232906170041,30
2022-06-16,0-19,463,485.714285714286,618.551209537362,409.52661988066,827.575799194063,30
2022-06-17,0-19,482,489.285714285714,618.834865730222,409.762224626923,827.907506833522,30
2022-06-18,0-19,523,491.0,619.108926789119,409.989874287684,828.227979290554,30
2022-06-19,0-19,499,486.714285714286,619.373352408987,410.209534251993,828.537170565982,30
2022-06-20,0-19,458,479.571428571429,619.628105579199,410.421172677014,828.835038481385,30
2022-06-21,0-19,472,482.714285714286,619.873152601822,410.624760504189,829.121544699456,30
2022-06-22,0-19,438,478.0,620.108463108337,410.820271474069,829.396654742605,30
2022-06-23,0-19,457,476.428571428571,620.334010074811,411.007682139805,829.660338009816,30
2022-06-24,0-19,490,476.714285714286,620.549769835498,411.186971879274,829.912567791723,30
2022-06-25,0-19,579,483.142857142857,620.755722094883,411.358122905845,830.153321283921,30
2022-06-26,0-19,491,483.428571428571,620.951849938127,411.521120277772,830.382579598481,30
2022-06-27,0-19,464,482.571428571429,621.138139839935,411.675951906204,830.600327773667,30
2022-06-28,0-19,487,486.428571428571,621.314581671829,411.822608561807,830.806554781852,30
2022-06-29,0-19,539,502.285714285714,621.481168707812,411.961083879999,831.001253535624,30
2022-06-30,0-19,472,500.714285714286,621.637897628433,412.091374364787,831.184420892078,30
2022-07-01,0-19,527,511.0,723.470443410362,486.109686648751,960.831200171973,33
2022-07-02,0-19,557,507.285714285714,723.629867213965,486.242961391697,961.016773036233,33
2022-07-03,0-19,547,504.714285714286,723.777832936194,486.366670989978,961.18899488241,33
2022-07-04,0-19,543,504.142857142857,723.914352579233,486.480824794359,961.347880364107,33
2022-07-05,0-19,538,501.714285714286,724.03944210451,486.585435507037,961.493448701983,33
2022-07-06,0-19,516,489.714285714286,724.153121426222,486.680519176334,961.625723676109,33
2022-07-07,0-19,439,495.0,724.255414402998,486.76609518977,961.744733616226,33
2022-07-08,0-19,518,524.142857142857,724.346348827712,486.84218626551,961.850511389914,33
2022-07-09,0-19,577,525.428571428571,724.425956415464,486.908818442224,961.943094388704,33
2022-07-10,0-19,520,523.0,724.494272789724,486.966021067333,962.022524512116,33
2022-07-11,0-19,468,510.571428571429,724.551337466664,487.013826783675,962.088848149652,33
2022-07-12,0-19,512,506.857142857143,724.59719383768,487.0522715146,962.14211616076,33
2022-07-13,0-19,518,508.714285714286,724.631889150139,487.081394447495,962.182383852782,33
2022-07-14,0-19,497,515.142857142857,724.655474486329,487.101238015766,962.209710956891,33
2022-07-15,0-19,528,515.428571428571,724.668004740678,487.111847879292,962.224161602065,33
2022-07-16,0-19,504,506.428571428571,724.669538595222,487.113272903354,962.225804287089,33
2022-07-17,0-19,527,507.571428571429,724.660138493354,487.105565136078,962.214711850629,33
2022-07-18,0-19,516,514.428571428571,724.639870611889,487.088779784393,962.190961439386,33
2022-07-19,0-19,434,501.857142857143,724.608804831452,487.062975188535,962.154634474368,33
2022-07-20,0-19,474,497.571428571429,724.567014705203,487.028212795111,962.105816615295,33
2022-07-21,0-19,426,485.0,724.514577425965,486.984557128758,962.044597723173,33
2022-07-22,0-19,521,487.714285714286,724.451573791728,486.932075762398,961.971071821059,33
2022-07-23,0-19,533,491.571428571429,724.378088169602,486.870839286141,961.885337053063,33
2022-07-24,0-19,537,490.857142857143,724.294208458214,486.800921274843,961.787495641585,33
2022-07-25,0-19,512,492.428571428571,724.200026048609,486.72239825435,961.677653842868,33
2022-07-26,0-19,499,501.571428571429,724.09563578365,486.635349666456,961.555921900843,33
2022-07-27,0-19,467,499.285714285714,723.981135915986,486.539857832606,961.422413999366,33
2022-07-28,0-19,437,497.428571428571,723.856628064595,486.436007916371,961.277248212819,33
2022-07-29,0-19,461,492.857142857143,723.722217169939,486.32388788472,961.120546455158,33
2022-07-30,0-19,473,481.142857142857,723.578011447778,486.203588468133,960.952434427424,33
2022-07-31,0-19,463,472.714285714286,723.424122341667,486.075203119572,960.773041563763,33
2022-08-01,0-19,387,456.428571428571,723.26066447417,485.93882797235,960.582500975991,33
2022-08-02,0-19,401,443.714285714286,723.087755596844,485.794561796935,960.380949396753,33
2022-08-03,0-19,414,434.571428571429,722.905516539001,485.642505956708,960.168527121294,33
2022-08-04,0-19,408,425.571428571429,722.714071155327,485.482764362729,959.945377947924,33
2022-08-05,0-19,503,436.428571428571,722.51354627235,485.315443427525,959.711649117176,33
2022-08-06,0-19,443,430.571428571429,722.304071633844,485.140652017955,959.467491249732,33
2022-08-07,0-19,484,434.0,722.085779845159,484.958501407174,959.213058283145,33
2022-08-08,0-19,463,445.142857142857,721.858806316569,484.769105225732,958.948507407407,33
2022-08-09,0-19,455,454.0,721.623289205636,484.572579411859,958.673998999412,33
2022-08-10,0-19,433,455.571428571429,721.379369358649,484.369042160956,958.389696556342,33
2022-08-11,0-19,437,461.571428571429,721.127190251192,484.158613874335,958.095766628049,33
2022-08-12,0-19,447,452.285714285714,720.86689792785,483.94141710725,957.792378748449,33
2022-08-13,0-19,512,462.0,720.598640941127,483.71757651625,957.479705366003,33
2022-08-14,0-19,555,470.285714285714,720.322570289607,483.487218805902,957.157921773312,33
