date,visit_count,visit_7day_mean,baseline,baseline_lowerbound,baseline_upperbound,ed_count
2022-11-14,3588,3231.0,3828.62873077453,3221.82218443188,4435.43527711718,37
2022-11-15,3356,3263.0,3826.98683538846,3220.31057096476,4433.66309981216,37
2022-11-16,3232,3272.85714285714,3825.37163011351,3218.82349514242,4431.91976508459,37
2022-11-17,3190,3266.71428571429,3823.7836651072,3217.36146161997,4430.20586859443,37
2022-11-18,3404,3268.28571428571,3822.22348226479,3215.92496744155,4428.52199708803,37
2022-11-19,3044,3256.14285714286,3820.69161510542,3214.51450193785,4426.868728273,37
2022-11-20,3011,3260.71428571429,3819.18858866095,3213.130546626,4425.24663069591,37
2022-11-21,3539,3253.71428571429,3817.71491936751,3211.77357511208,4423.65626362295,37
2022-11-22,3271,3241.57142857143,3816.27111495969,3210.44405299601,4422.09817692337,37
2022-11-23,3282,3248.71428571429,3814.85767436733,3209.14243777885,4420.57291095581,37
2022-11-24,3203,3250.57142857143,3813.47508761499,3207.86917877258,4419.0809964574,37
2022-11-25,3333,3240.42857142857,3812.12383572392,3206.62471701216,4417.62295443568,37
2022-11-26,3196,3262.14285714286,3810.80439061667,3205.40948517007,4416.19929606326,37
2022-11-27,2970,3256.28571428571,3809.51721502411,3204.22390747302,4414.81052257521,37
2022-11-28,3516,3253.0,3808.26276239512,3203.06839962109,4413.45712516916,37
2022-11-29,3200,3242.85714285714,3807.04147680863,3201.9433687091,4412.13958490816,37
2022-11-30,3122,3220.0,3805.85379288813,3200.8492131502,4410.85837262606,37
2022-12-01,3162,3214.14285714286,3804.70013571864,3199.78632260167,4409.61394883561,37
2022-12-02,3288,3207.71428571429,3803.58092076608,3198.755077893,4408.40676363916,37
2022-12-03,3052,3187.14285714286,3802.49655379894,3197.75585095596,4407.23725664192,37
2022-12-04,3026,3195.14285714286,3801.44743081239,3196.78900475702,4406.10585686776,37
2022-12-05,3348,3171.14285714286,3800.43393795459,3195.85489323165,4405.01298267752,37
2022-12-06,3013,3144.42857142857,3799.45645145538,3194.95386122086,4403.95904168989,37
2022-12-07,3134,3146.14285714286,3798.51533755718,3194.08624440973,4402.94443070463,37
2022-12-08,3138,3142.71428571429,3797.61095244813,3193.25236926792,4401.96953562833,37
2022-12-09,3321,3147.42857142857,3796.7436421974,3192.45255299224,4401.03473140256,37
2022-12-10,2921,3128.71428571429,3795.91374269275,3191.68710345115,4400.14038193435,37
2022-12-11,3052,3132.42857142857,3795.12157958013,3190.95631913117,4399.2868400291,37
2022-12-12,3425,3143.42857142857,3794.36746820553,3190.26048908529,4398.47444732577,37
2022-12-13,3185,3168.0,3793.65171355878,3189.59989288314,4397.70353423442,37
2022-12-14,3327,3195.57142857143,3792.97461021955,3188.97480056313,4396.97441987598,37
2022-12-15,3200,3204.42857142857,3792.33644230531,3188.38547258635,4396.28741202427,37
2022-12-16,3368,3211.14285714286,3791.73748342134,3187.83215979232,4395.64280705035,37
2022-12-17,3069,3232.28571428571,3791.17799661273,3187.31510335652,4395.04088986895,37
2022-12-18,2922,3213.71428571429,3790.65823431839,3186.83453474963,4394.48193388716,37
2022-12-19,3781,3264.57142857143,3790.17843832691,3186.3906756986,4393.96620095523,37
2022-12-20,3377,3292.0,3789.73883973446,3185.98373814935,4393.49394131957,37
2022-12-21,3241,3279.71428571429,3789.33965890452,3185.61392423123,4393.06539357782,37
2022-12-22,3233,3284.42857142857,3788.98110542957,3185.28142622309,4392.68078463605,37
2022-12-23,3292,3273.57142857143,3788.66337809453,3184.98642652108,4392.34032966797,37
2022-12-24,2780,3232.28571428571,3788.38666484218,3184.72909760803,4392.04423207633,37
2022-12-25,2952,3236.57142857143,3788.15114274033,3184.50960202445,4391.79268345621,37
2022-12-26,3053,3132.57142857143,3787.95697795082,3184.32809234119,4391.58586356045,37
2022-12-27,3764,3187.85714285714,3787.80432570033,3184.18471113362,4391.42394026704,37
2022-12-28,3243,3188.14285714286,3787.69333025294,3184.07959095737,4391.30706954851,37
2022-12-29,3165,3178.42857142857,3787.62412488453,3184.01285432576,4391.23539544331,37
2022-12-30,2964,3131.57142857143,3787.59683185886,3183.98461368856,4391.20905002916,37
2022-12-31,2456,3085.28571428571,3787.61156240542,3183.9949714125,4391.22815339834,37
2023-01-01,2906,3153.57142857143,3887.80924453707,3267.09473726434,4508.52375180981,38
2023-01-02,3181,3161.42857142857,3887.91093088047,3267.18491238817,4508.63694937277,38
2023-01-03,2894,3022.42857142857,3888.05602619673,3267.31494691699,4508.79710547646,38
2023-01-04,2993,2975.0,3888.24459916034,3267.48490432548,4509.0042939952,38
2023-01-05,3078,2948.71428571429,3888.47670703273,3267.69483766453,4509.25857640092,38
2023-01-06,3038,2946.14285714286,3888.75239565003,3267.94478955039,4509.56000174968,38
2023-01-07,3006,3013.71428571429,3889.07169941273,3268.2347921553,4509.90860667015,38
2023-01-08,2579,2967.0,3889.4346412769,3268.56486719972,4510.30441535407,38
2023-01-09,3181,2967.0,3889.84123274731,3268.935025946,4510.74743954862,38
2023-01-10,2869,2963.42857142857,3890.29147387219,3269.34526919358,4511.2376785508,38
