date,syndrome,visit_count,visit_7day_mean,baseline,baseline_lowerbound,baseline_upperbound,ed_count
2023-02-28,SARI,34,34.0,67.1417565858336,2.73964124942695,131.54387192224,28
2023-03-01,SARI,34,33.5714285714286,66.9050345075083,2.61715626927885,131.192912745738,28
2023-03-02,SARI,40,33.8571428571429,66.6634625439326,2.49238086051019,130.834544227355,28
2023-03-03,SARI,58,37.5714285714286,66.4171756159299,2.36539804666613,130.468953185194,28
2023-03-04,SARI,37,39.2857142857143,66.1663101496019,2.2362915298763,130.096328769327,28
2023-03-05,SARI,36,39.2857142857143,65.9110039451977,2.10514559650945,129.716862293886,28
2023-03-06,SARI,50,41.2857142857143,65.6513960463573,1.97204502341586,129.330747069299,28
2023-03-07,SARI,50,43.5714285714286,65.3876266099225,1.83707498490922,128.938178234936,28
2023-03-08,SARI,49,45.7142857142857,65.1198367765089,1.70032096063661,128.539352592381,28
2023-03-09,SARI,50,47.1428571428571,64.8481685420237,1.56186864447954,128.134468439568,28
2023-03-10,SARI,40,44.5714285714286,64.5727646303102,1.42180385462518,127.723725405995,28
2023-03-11,SARI,33,44.0,64.2937683670953,1.28021244494206,127.307324289248,28
2023-03-12,SARI,33,43.5714285714286,64.0113235554091,1.13718021778866,126.88546689303,28
2023-03-13,SARI,59,44.8571428571429,63.7255743526408,0.992792838378264,126.458355866903,28
2023-03-14,SARI,38,43.1428571428571,63.4366651493878,0.847135750818586,126.026194547957,28
2023-03-15,SARI,46,42.7142857142857,63.1447404502499,0.70029409593761,125.589186804562,28
2023-03-16,SARI,45,42.0,62.8499447567111,0.552352631001961,125.14753688242,28
2023-03-17,SARI,42,42.2857142857143,62.5524224522482,0.403395651428471,124.701449253068,28
2023-03-18,SARI,41,43.4285714285714,62.2523176897952,0.253506914582436,124.251128465008,28
2023-03-19,SARI,28,42.7142857142857,61.9497742816858,0.102769565750493,123.796778997621,28
2023-03-20,SARI,55,42.1428571428571,61.6449355921924,-0.0487339336300943,123.338605118015,28
2023-03-21,SARI,40,42.4285714285714,61.3379444327656,-0.20092187541115,122.876810740942,28
2023-03-22,SARI,31,40.2857142857143,61.0289429600792,-0.353713371773071,122.411599291931,28
2023-03-23,SARI,44,40.1428571428571,60.7180725769711,-0.507028419801957,121.943173573744,28
2023-03-24,SARI,34,39.0,60.4054738363658,-0.660787963548784,121.47173563628,28
2023-03-25,SARI,30,37.4285714285714,60.0912863482588,-0.814913953520385,120.997486650038,28
2023-03-26,SARI,34,38.2857142857143,59.7756486898308,-0.969329403559633,120.520626783221,28
2023-03-27,SARI,36,35.5714285714286,59.4586983187555,-1.12395844507768,120.041355082589,28
2023-03-28,SARI,46,36.4285714285714,59.1405714897577,-1.27872637860751,119.559869358123,28
2023-03-29,SARI,35,37.0,58.8214031744684,-1.433559722654,119.076366071591,28
2023-03-30,SARI,32,35.2857142857143,58.5013269846181,-1.58838625982239,118.591040229059,28
2023-03-31,SARI,35,35.4285714285714,58.1804750986022,-1.7431350802117,118.104085277416,28
2023-04-01,SARI,35,37.4285714285714,59.9600063494491,-2.21812922224961,122.138141921148,29
2023-04-02,SARI,27,36.2857142857143,59.6263003019023,-2.37726813951376,121.629868743318,29
2023-04-03,SARI,38,36.5714285714286,59.29219170457,-2.53611258998066,121.120495999121,29
2023-04-04,SARI,24,33.0,58.9578109037906,-2.69459521514609,120.610217022727,29
2023-04-05,SARI,27,31.4285714285714,58.6232864331489,-2.85265019059689,120.099223056895,29
2023-04-06,SARI,35,31.8571428571429,58.2887449586759,-3.01021325390402,119.587703171256,29
