date,triage,visit_count,visit_7day_mean,baseline,baseline_lowerbound,baseline_upperbound,ed_count
2022-08-24,1,47,53.5714285714286,61.0453612942579,-10.6563406661344,132.74706325465,34
2022-08-25,1,61,53.2857142857143,61.057652566756,-10.6512850805087,132.766590214021,34
2022-08-26,1,50,53.1428571428571,61.0698204227068,-10.6462797302606,132.785920575674,34
2022-08-27,1,49,52.1428571428571,61.0818591911556,-10.6413269786403,132.805045360951,34
2022-08-28,1,47,50.0,61.0937632365086,-10.6364291752632,132.82395564828,34
2022-08-29,1,46,49.7142857142857,61.1055269603396,-10.6315886553191,132.842642575998,34
2022-08-30,1,46,49.4285714285714,61.1171448031902,-10.6268077387822,132.861097345163,34
2022-08-31,1,49,49.7142857142857,61.1286112463631,-10.6220887296234,132.87931122235,34
2022-09-01,1,59,49.4285714285714,61.139920813708,-10.6174339150235,132.89727554244,34
2022-09-02,1,45,48.7142857142857,61.1510680733983,-10.6128455645891,132.914981711386,34
2022-09-03,1,39,47.2857142857143,61.1620476396995,-10.6083259295706,132.93242120897,34
2022-09-04,1,51,47.8571428571429,61.1728541747271,-10.6038772420835,132.949585591538,34
2022-09-05,1,48,48.1428571428571,61.1834823901943,-10.5995017143327,132.966466494721,34
2022-09-06,1,53,49.1428571428571,61.1939270491483,-10.5952015378403,132.983055636137,34
2022-09-07,1,53,49.7142857142857,61.2041829676942,-10.5909788826778,132.999344818066,34
2022-09-08,1,63,50.2857142857143,61.2142450167069,-10.586835896702,133.015325930116,34
2022-09-09,1,59,52.2857142857143,61.2241081235286,-10.5827747047965,133.030990951854,34
2022-09-10,1,62,55.5714285714286,61.2337672736527,-10.5787974081175,133.046331955423,34
2022-09-11,1,68,58.0,61.2432175123924,-10.5749060833456,133.06134110813,34
2022-09-12,1,63,60.1428571428571,61.2524539465339,-10.5711027819436,133.076010675011,34
2022-09-13,1,42,58.5714285714286,61.2614717459731,-10.5673895294201,133.090333021366,34
2022-09-14,1,40,56.7142857142857,61.2702661453348,-10.5637683245999,133.10430061527,34
2022-09-15,1,49,54.7142857142857,61.278832445575,-10.560241138902,133.117906030052,34
2022-09-16,1,40,52.0,61.2871660155632,-10.5568099156239,133.13114194675,34
2022-09-17,1,56,51.1428571428571,61.2952622936469,-10.553476569235,133.144001156529,34
2022-09-18,1,43,47.5714285714286,61.3031167891952,-10.550242984677,133.156476563067,34
2022-09-19,1,58,46.8571428571429,61.310725084122,-10.5471110166735,133.168561184918,34
2022-09-20,1,57,49.0,61.3180828343877,-10.5440824890487,133.180248157824,34
2022-09-21,1,56,51.2857142857143,61.3251857714788,-10.5411591940548,133.191530737012,34
2022-09-22,1,54,52.0,61.3320297038653,-10.5383428917092,133.20240229944,34
2022-09-23,1,44,52.5714285714286,61.3386105184335,-10.5356353091425,133.212856346009,34
2022-09-24,1,51,51.8571428571429,61.3449241818956,-10.5330381399557,133.222886503747,34
2022-09-25,1,52,53.1428571428571,61.3509667421746,-10.530553043589,133.232486527938,34
2022-09-26,1,48,51.7142857142857,61.3567343297627,-10.5281816447016,133.241650304227,34
2022-09-27,1,56,51.5714285714286,61.362223159055,-10.5259255325627,133.250371850673,34
2022-09-28,1,69,53.4285714285714,61.3674295296552,-10.5237862604546,133.258645319765,34
2022-09-29,1,57,53.8571428571429,61.3723498276549,-10.5217653450878,133.266465000397,34
2022-09-30,1,54,55.2857142857143,61.376980526884,-10.5198642660286,133.273825319797,34
2022-10-01,1,60,58.6666666666667,64.6076098395774,-12.4575253368618,141.672745016017,37
2022-10-02,1,47,57.6071428571429,64.6118635353779,-12.4558289266134,141.679555997369,37
